,class,tweet
769,1,rivaroxaban 2/2 lower back pain. not very pc but am crippled by this drug. taking more paracetamols. must ring for 'phone consultation.
771,0,@incubator04 i'm hoping that i get on the zyprexa. the gi was pretty sure it would help the nausea and i know it'll help the crazies.
772,1,i need more medication than this.?my body is already building a tolerance for the prozac i've been taking.
773,1,"the 100mg tabs of trazodone my gp prescribed are too much, now that i don't take them every night. still zombieish after an hour awake."
774,1,"2/2 blood tests scheduled. bp normal now have own coaguckek machine. still aches and pains, legs better. taking codeine rivaroxaban losartan"
776,0,rt @cutandpurge: liquid fluoxetine tastes like crap.
778,0,?@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.? @katepburton ???
779,1,@onemoremum did i read in a blog post that you took venlafaxine? i am on 300mg and if i forget it for one day i can barely function the next
780,1,act now and get our deluxe cyde-fx set absolutely free! experience lucid dreaming and sleep paralysis like never before! #quetiapine
782,1,"@cutefont i essentially felt nothing on them. great for anxiety, bad for living. coming off klonopin and paxil was hell though."
784,0,got my shit taken from me because i burned myself with salt and ice 20 times on my leg. out for the day ! hair appt at 11. on latuda now.
785,1,well my effexor kinda did its job to keep my anxiety under control.... but now to get my heart rate down..... ugh
786,1,"@dearabbygail yeah, ambien is also addictive, so short term is the goal. ask about seroquel? tell the doc about all the health stuffs though"
787,0,"depression hurts, cymbalta can help"
789,1,cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass
794,0,seroquel takes a long time to hit me ]:::
795,1,"didnt take my fluoxetine this morning because i forgot and i've been so shaky and tired all day, is this like, withdrawal symptoms?"
798,0,@aerobicsfirst ok.....no problem.  i did think running shoes and snorting prozac were at the opposite end of the relationship spectrum.
799,0,please put a straight pencil line through the lozenge' #lozenge #catstests #germanguy #bussy @jed_hoyle @kirstyhanson3
800,1,dear lord how did i just now wake up? thank you trazodone for ruining my life.
801,1,so it fucking turns out that a side effect of effexor is a loss of appetite
802,1,i didn't expect that going off of paxil would make me want to look at my farrah fawcett poster quite so much.
803,0,"from your sixties people bought level of acidity to build our world peculiar. at this time our world is usually peculiar, people take prozac"
804,1,effexor xr side effects : - sucidal thoughts - insomnia - feeling high &amp; unresponsible. -dry mouth.
809,0,prescribed wellbutrin and got an okay to get off effexor as fast as possible. to be on the look out for symptoms of mania.. in case #bipolar
810,1,i called for my effexor refill on wednesday. i was out. it's sunday and i can't stop screaming and crying
812,1,21.43 day 25 rivaroxaban diary. think all rvxbn nowq out of my body but losartan (last 25mg tablet taken 4 days ago) remains. still aching.
813,1,that seroquel has been given me some seriously fucked up dreams.
814,1,can't even take a seroquel cause i gotta wake up smfh
815,1,rivaroxaban diary day 22. am beginning to think all pains from pressure on that part of body are due to fluid retention.
817,1,"@copelong30 had a migraine, asked him for medicine, he's sitting there like ""that's what you get! nicotine withdrawals!"" like fuck dad."
819,0,"@stu_89 nice to know, still not out of 2nd relapse, got to give tysabri a go i think, just scared about the brain virus."
820,1,"rt @vyvanseswag: vyvanse, commonly known as ocd in a pill."
823,1,oh i get it  ambien  seroquel  now i'm floatin
824,0,"#ifitwasntfor vyvanse&amp;coffee, i wouldn't be able to work as much as i do. #true"
825,0,@jennihall7 i'm on quetiapine aswell and i really want to use semtex just don't no if you can either x
826,0,"alright. so right now. i need. some ritalin, adderall, cocaine, or vyvanse. any help would be appreciated."
827,1,vyvanse makes me having the sleeping schedule of a fucking vampire.
828,0,@ilaconlaccento @prozac @mary_ey gonna be huge if it works out! if not - let's skype and cry together
829,0,"@cat_whitney fluoxetine is one of the ssris, correct? a dose adjustment on an ssri usually takes more than one day for its medicinal"
830,1,"kinda worried about the nighttime jaw clenching from effexor, what with my tongue ring and all... :l"
831,1,"@ciproispoison ironically, the pulmonologist i work with told me about his own devastating bout with 'tendonitis' after cipro"
832,1,been on humira now short period 4 to 6 injections no noticeable change in pain but racing heart and palpitations. mtx at 1ml injection.
834,1,cipro makes my nose feel like its bleeding. but it's not. #phantomsangre
835,1,i've been sleeping most of my day away thanks to my humira shot. some days i feel like just giving up. #sick&amp;tired
836,1,ugh i wish my vyvanse didn't make my stomach hurt so bad???
837,1,"@adelerosenbloom getting off seroquel (sero-kill) can cause convulsions, fever, toxic reactions, psychotic reactions. and other shit"
841,1,@luckystubbs i take way too much zoloft and seroquel to get the horn my life is a lie
842,0,"@subliminalphil: @justlafrench that's why i hope you never take prozac, because i want your peepee to be hard and strong for all eternity."
843,0,"oh yay. ciprofloxacin just in time for the weekend. i thank you vietnam &amp; egypt. alcohol, see you in 7 days. #sick"
844,1,"in other news, i've got my first weird side effect from quetiapine. numbness and tingling in my fingertips."
846,0,"cipro tablets are present inward 100 mg, 250 mg, 500 mg, 750 mg baton 1000 mg.:"
847,1,@halfabear i had a year on prozac which ruined my creativity too - my memory now is awful - pregabalin does it but it's worth it!!!
851,0,"(pd. sertraline vs fluoxetine, make your bet)"
852,0,?@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.? hmm
853,1,"the seroquel the doc gave me, makes doing things difficult. . . but if i don't do something, i'll fall asleep. the catch-22 of crazy."
855,1,@epilepsysociety i have a q..i am taking lamotrigine and wondered if anyone else has had insomnia as a side effect?and what to do about it
856,1,yay mom's giving me baclofen when i get home~ i'll probably still be gorked for my physics final but i kinda don't give a fuck.
857,1,ok i've got a med ? anyone ever tried cymbalta?? my doc put me on it but i slept 10 hrs straight!!
858,1,took a vyvanse for the first time in a month feelin weird.
859,1,packing whilst experiencing venlafaxine withdrawal is pretty hellish. got to keep track of my med times.
860,1,@cocayne18 stopped working.  i don't think their meant to last forever but again it depends on the person.  i took enbrel when i was on my
861,1,@themartinnewman to be honest i've  had worse. on fluoxetine i was convinced there was a plot to steal my thoughts... !
862,1,that zyprexa really makes your vocal chords marvelous only it makes you gain so much weight
863,1,damn you quetiapine side effect. was quite enjoying being able to sleep at night
864,1,"@stfumisogynists brain zaps? happens a lot when missing doses, (especially with effexor &amp; wellbutrin ime) - just feels weird. no real danger"
865,1,"how is it that vyvanse gives me dry mouth, but i still produce this much saliva in my sleep?"
867,0,i finally got approved for my humira shot this week!!! and i got my electric wheelchair coming by the 15th of july! #fightingra
868,1,day 11 of #rwrunstreak completed. 1.32 miles of walking. can't run even if i could because of cipro. also day 4 of mostly raw was good.
869,0,@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac. get me some bananas!! lol
870,0,"@builtinbc oh i thought cymbalta was a pain med. sorry, that sucks."
871,0,@fyzzx freshies? man don't talk about yourself and humira like that what'd i tell you
872,1,also my kidneys have been swollen ever since i've been on viibryd.. but its also been super hot out..
873,1,my choice was more #surgery on 6-ft small bowel or #biologics like #humira.  now #chemo is my only hope 2 treat #lung side effect. #crohns
874,0,depression hurts :( cymbalta can help (:
875,1,"have been in a lot of pain all day though and i feel and look like a zombie. seroquel is quite an annoying medication, ugh. -.-"
877,0,@andybiotech @adamfeuerstein @bradloncar maybe unspoken worries about lt growth of tysabri while $biib focuses on tecfidera?
878,1,gave in wholeheartedly today to my olanzapine munchies. had already had an ice cream and milkshake before this :-0 http://t.co/mrzznwzwrl
879,1,"@kniterrupted i think it?s an snri, i?m not even sure. it?s viibryd. but none of my anti-depressants have ever messed me up like this before"
880,1,i can't secretly try and come off my olanzapine as my cpn and psychiatrist will notice the weight loss!
881,1,holy shit i quit. no for real this time tho. fuck that noise. aint got time for stuffy sinuses and nicotine addiction.
883,0,called #shrink &amp; he said #cogentin is the reason i'm feeling like ? so taking #latuda alone ? #ihatemedication
884,0,"lol d song i have in mind, its too different.. dunno if others will like it.. i dey fear to record am lol .. nicotine would be on it too"
885,0,@ryanfarias24 they have .06 nicotine content and did u see the new jerseys ?
886,1,no taste for you -vyvanse
887,0,took my lamotrigine (#14) at 1704 utc. long drive ahead of me today. hope my back pain goes away.
888,1,"@karensmallcat i hated seroquel, i was sleeping 18 hrs a day on it"
889,0,quetiapine or olanzapine for mild to moderate anxiety #older persons mental health
890,1,"rt @bipolarblogger: since quetiapine's messed with my prolactin levels, making my boobs humungous &amp; my bras so expensive, i want a lingerie?"
892,1,vyvanse evidently doesn't care about my bed time
893,1,@boop_b_love vyvanse and adivan....its ws a crazy night my heart stopped for like 36 seconds. woke up in the mental hospital.
894,0,@mocoddle we should just add prozac to the water supply. problem solved!
895,1,you woukd think going off of cymbalta would make me less tired...but nope...-_-
896,0,@jaygascoigne that med didn't help me. i'm on humira. it works great. with surgery &amp; humira been in remission 5-6yrs.
897,0,@muhleeah i heard of tysabri. should work good on ms. but serious side effects as well  :(
898,0,medical professionals on my feed...any thing i need to know about this med: lamotrigine. it's being used to treat bipolar teen.
899,0,rt @k1nze: irritation hurts...cymbalta can help #problems @_de_von_
900,0,thank you vyvanse for this great mood i'm in ?
901,1,i decided to try visualization tapes again. at least they wouldn't give me a rash like lamictal.
902,1,life alert life alert i am burping up fluoxetine powder i think i might die
903,1,@_chanabeth_ @laceykaybee i didn't stay long. and i took a vyvanse so i can't go back to sleep. lol
904,1,@brain_opera i had to taper myself down. i think the seroquel gave me lasting sleep paralysis. i've had it ever since.
905,0,"@chrisschnapp chemically, illnesses like these are of the brain itself. behavioral medication like zoloft, paxil, etc exist for this reason."
906,0,"tell your doctor if you experiment suicidal thoughts after taking venlafaxine. wait, isn't that the reason why i started taking this shit?"
907,1,@halfabear @eabendies yeah pregabalin calms my bipolar ii too - but not in the numbing way that prozac does.
908,0,rt @fda_drug_info: #fda drug safety communication: fda is investigating two  deaths following injection of #zyprexa relprevv http://t.co/xr?
909,0,"it feels like we're all living in a prozac nation, the united states of depression"
910,0,"the pills can make you smarter and smarter. geodon, welbutrin, adderall they change the brain structure and you get more abilities."
911,1,"since swapping my quetiapine doses around, my hunger and cravings have gotten so bad!"
913,1,@jessielee122 you can say that again!  i trusted my doc and ended up crippled thanks to just 12 cipro pills.  going on 4 years now.
914,1,rt @jumpingjesush: it appears that my twitter addiction may have just been a side effect of my nicotine lozenge addiction.
917,1,another light nights sleep brought to me courtesy of #venlafaxine dammit. #day8
918,1,this seroquel-dry-mouth thing is getting weird
919,1,"@fragileannie @meilufay i tried baclofen, another common muscle relaxer, and had too many side-effects from it, including worsening pain."
920,1,"i think the lamotrigine is finally doing what it's supposed to; which is not make me sick, but keep my moods stable :) yaay &lt;3"
921,0,rt @globalmeded: comparison of 4 #antipsychotics in patients over 40 with psychiatric disorders. #quetiapine least safe http://t.co/5roujwr?
922,1,"@alyseisspecial omg seroquel. that made me crazy town. i hope it's a low dose. so it's almost midnight. last gulp now, and sober tomorrow."
923,1,@tysonstown when i was on fluoxetine i was dead from the waist down. even frankenstein couldn't have helped...
924,0,rt @vyvanseswag: my dream girl takes more vyvanse than me.
925,1,"i swear, since i went on lamotrigine, i've become dyslexic..what the fuck is up with that?"
926,1,@gangamstyledad is that like quetiapine. when i had to take that crap i could not stay up longer than 11 hours
927,0,"@codysimpson drink herbal tea, hot lemon water or take a ""voice lozenge"" (it clears ur throat and relaxes ur vocal cords, i use them myself)"
928,0,effexor xr is the worst pill ever omg thank god i didn't take it for a long while jfc
929,0,@officialevix 1 prozac a day
930,1,@droz i take trazodone for my #insomina &amp; still have a hard time falling asleep or i end up having crazy dreams that wake me up!?!
931,0,brief-bayer says new data affirm effectiveness of xarelto as therapy for dvt
932,1,"@johncheese i hated effexor. it makes you hungry, dizzy, and lethargic. that culminated in a large weight gain for me."
936,0,depression hurts... cymbalta can help @shannongaghan
937,0,"@ilaconlaccento @mary_ey @prozac sheffield, manchester, leeds and some place to sleep in leeds then"
938,0,depression hurts. cymbalta can help.
939,0,need some cymbalta up in this place
940,0,?@uberfacts: bananas contain a natural chemical that can make a person happy...same chemical found in prozac.?  someone tell @raycomfort
941,1,@lukehedgecutter i cant sleep im having a well bad nicotine craving
943,1,do you think anyone has ever managed to have an orgasm while on xarelto?
944,1,so my body was goin threw withdrawl? lol didnt kno paxil was that strong lol
945,1,woke up to breakfast in bed...well couch because i'm addicted to the new 3d wifi tv. too bad i have no appetite. thanks cymbalta.
946,0,@1pcornwell it sucks being bipolar.  i am taking geodon.  it seems to work most of the time.  i'm new to this.  was ptsd.  now bipolar too.
947,1,ooh me too! rt @xyle50ul: #schizophrenia #seroquel did not suit me at all. had severe tremors and weight gain.
949,1,"if you want to sleep for 15 hours, take seroquel. fuck i just woke up and it's 4"
950,1,i'm having to pee way too much this drive.. drinking too much water. fuck you 70mg vyvanse and your ability to dehydrate the fuck out of me.
952,0,"@dementiatoday memantine has a limited effect, more focus should be on reducing agitation and not just with pharmacology ;)"
953,0,in quetiapine we trust. no punchline.
954,0,"though i'm still sleeping well, even on floor. that much be because of long half life and still having fluoxetine in my system."
955,1,"14.11 day 17 rivaroxaban diary. still waiting for doctor to phone me ""around lunchtime"". taken more paracetamol to dull the aches."
956,1,"@elladeruiter oh i hate that! i used to be on citalopram, it stopped working eventually. sometimes i have to up my effexor dose temporarily."
957,0,g-d it feels good being out of the hospital!! blood clot in leg that landed in my lung. xarelto 4 / 30 days.
958,1,@jules_clarke banana? hot milk? and randomly lettuce! all contain sleepy bye chems. all i have is trazodone which means dopey all day tomo
959,1,vyvanse completely fucks up my sleep smh but i need it to study too
960,1,i do baclofen which helps w incontinent urges but don't think it's good for the bowels. (very personal but wtf) anyone have insight for me??
961,0,@branden_koerner you know... theres a type medician out there that helps with your depression... cymbalta can help..
962,1,#effexor #withdrawl is a monster that i have taken by the horns and am wrestling to the ground...this time i am winning! 7thdayfree
963,1,@aravain i've heard of all kinds of skin issues on lamictal! pretty sure mine is psychosomatic though...
964,1,"@bullfrogr @soozmc123 amil isnt so bad, paxil makes everything slow and haldol is ok, and haldol  .. i dunno how to explain what it does"
965,1,trazodone hangover and dry eyes
967,1,"3 rounds of puking, a nasty headache, and my throat is raw. body wants nothing to do with this increase in the geodon."
970,0,@foodnetwork bravo for dumping dean. you won a new fan in me. no one needs her food as we can't afford the victoza and she gets it free!
971,1,"amateur porn tips: take vyvanse! after two hours of continuous shitting, you'll be ready for anal with no embarrassing poo accidents! ?"
972,1,i'm loosing so much blood right now. humira is some scurry ish.
973,0,rt @scripalexs: rt @boehringer: #dabigatran submitted to ema for acute #treatment &amp; prevention of recurrent #dvt #pulmonaryembolism http://?
974,0,"pradaxa is a blood thinning medication used to reduce the risk of stroke in patients with  (af), commonly known as irregular heartbeat."
975,0,rt @juniperrberry: animal pharmaceuticals doggy prozac called 'reconcile' with a beefy flavor #sfi_live
976,1,do you know how badly i want a cigarette right now? but no. i manfully suffer through nicotine withdrawal?all for you #sacrifice
977,0,@jenchang1 i think patients who take tysabri generally want to know if they could be at risk for pml.
978,0,@tete_floue i think the mirtazapine is slowly lifting my mood dips and hopefully venlafaxine will lesson the anxiety.time will tell x
979,0,"@rawarrior have had no response on double and triple treatments. have exhausted humors, enbrel, and now on this. recently taken out of work"
980,0,"now i'm on klonopin and abilify with my paxil, hoping these work. also have a case worker to start me on social security."
981,0,?@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.? plenty of bananas then!
982,1,rt @ocserena: @drdrewhowlong does paxil withdrawal take! extremely emotional:( switched to wellbutrin. wanna crawl in a hole.
985,0,@diabetesuk bit of advise please. i've stopped gliclazide but still taking metformin &amp; victoza. do i need to notify dvla &amp; ins co?  thanks
986,1,#schizophrenia #seroquel did not suit me at all. had severe tremors and weight gain. diabetes too! switched to #abilify. suits me well.
989,1,this lozenge is making my whole mouth numb... is that normal?
990,0,aw what's up with your name ? you feel lonely or alone . ? cymbalta could cute depression it's okay. @criss_staystrue @leslieee04
991,1,i'm not sure if seroquel is helping us or making things even worse.. anyone else knows if it can make dissociation worse?
992,1,exhausted...can't fall asleep. don't wanna take a trazadone and wake up hungover. #sleepdisorderproblems
993,1,is it possible for levaquin to cause massive pain in my joints? #medical#query
994,1,18.08 day 11 rivaroxaban diary intense back pain  at a funeral from 10.30am.  paracetamol eventually took it off. very weak and aching knees
997,1,@jelizap tried lithium &amp; depakote been reading up on lamotrigine it was suggested but had such nightmare with quetiapine was scared to try
998,1,nicotine lozenges are giving me stomach cramps.
999,0,"i'll go untreated for 8 weeks! that is extremely scary, if i wasn't on effexor and ativan i would be having panic attacks..thank god no pain"
1000,1,"me : feeling fine, watching tv ... swiffer commercial #lamotrigine : lol lets make the bitch cry at this... a fucking swiffer commercial."
1001,1,"when i had my infected k stone, hospital put me on cipro - a synthetic antibiotic. i ""smelled"" a pungent solvent odor, i smell it now. why?"
1003,0,@pueblokc how's your crohn's?  i'm back on remicade and pentasa after failing at humira and cimzia
1004,0,@louisnewbery i started reducing my venlafaxine last week. the lower dose is just starting to take effect. another 5 weeks to go - at least!
1005,0,"euthyrox100 before breakfast, metoprolol tartrate after breakfast - lifetime partner!!!"
1006,1,guess what? still feeling weird. fuck you quetiapine. fuck you.
1007,0,"slow down, you sound like the end of a cymbalta commercial. #ad4"
1008,1,my increase of quetiapine is making me so tired #sleepy
1010,0,@deltrimental stopping effexor is probably good but not suddenly! xxx
1011,1,@thebloggess your lucky! i have to do infusions of remicade for my ra. i would happily do humera or enbrel if it didnt make me stop breathin
1012,0,your tongue tastes of nicotine but you're saying that you just had one
1013,0,happy birthday humira @penryns
1014,1,"this lamictal shit ain't cuttin the mustard; any ""mood stabilizers"" that don't steal your soul &amp; make u a bloated zombie a la britney?"
1017,1,wondered why my limbs ached and i was shivering on the hottest day of the year so far. forgot my venlafaxine. that'll be withdrawal then!
1020,1,"@anyssiakaissa depakote made me feel flat, but helps many. zyprexa can cause weight gain, so be very careful. i can't tolerate it."
1023,1,oh hello seroquel old friend i mi*passes out on bed*
1024,0,rt @kati_dupree843: vyvanse really is a life saver right now #nannyprobs
1025,0,curlin up with a good book and nicotine lozenges.
1026,1,"20s 8th day with #effexor still experiencing some side effects (drowsiness,sleepiness,gi effects). moderate improvement in mood #depression"
1029,1,time to get off paxil.  it's really really been terrifying lately.
1030,1,"so unfair, i never get the good side effects of meds. ativan, seroquel, &amp; ambien xr make me feel so drink i cant really walk &amp; im nauseated"
1033,1,@sam_dietrich just had the viibryd vision shake thing again very cool
1034,1,"but still dr. maria jasinskas was right &amp; would have been if not for pharmacy; she said, ""you know sometimes vyvanse can make you depressed"""
1035,1,"@cheer_bear13 quetiapine knocked me sidewards for a week then i suddenly woke up activated. then relapsed, upped dose, activated &amp; so on"
1036,1,@dougmoneybags quetiapine. very low dose even with increase. helps me get to sleep (&amp; eat in general) but feel really groggy in the morning
1037,1,@crohnsdiaries hi i was on humira for 4 months worked great until i got sick last week. don't know if i will go back on it or not.
1038,1,"finally got my vyvanse today, now i can go back to hating food . ha"
1039,1,okay i took the seroquel and i am resisting the urge to vomit it up i feel disgusting but oh well good times good vibes don't be sad
1041,0,@d_hablo yh prozac n ecstasy block neuron pathways or some shit
1042,0,"i'm super trillz and u kno dat aaaaand dat pussy throwback, and any given night i can still pop that ass like a prozac"
1043,1,@droz i take trazodone for my #insomina &amp; still have a hard time falling asleep or i end up having crazy dreams that wake me up!?! #ozsleep
1044,0,"@nobleday medications like copaxone  rebif, gilenya or tysabri wouldn't be here today without it"
1045,0,"@heidita22 @joanjacobs4 dr said i have blood, puss, red n white blood cells in my urine. gave me cipro n told me to see urologist monday"
1046,0,"@gkygirlengineer ""cymbalta: you're gonna like the way it..err...you look."""
1047,0,"paxil will be the death of me,"
1048,1,fucking effexor withdrawals. i would shake my fist but i don't have the energy.
1050,0,any given night i still pop that pussy like a prozac ?
1051,1,@mcmorag my dreams became vivider i think with effexor #bpdchat
1052,0,ok. call humira nurse line (that's the only recent change) or my own doc?
1053,0,@mylifewithocd fluoxetine x
1054,1,08.26 day 14 rivaroxaban diary. just been to cut some wild roses down so workmen can easily get to part of my garage. intense back pain.
1055,0,end of day 2 -much better but still upping dosage -lets hope for more movement tomor! #newmeds #meantalhealth #bipolar #quetiapine
1056,1,between the fucking redbull and vyvanse i popped to energize my triple yesterday... couldn't fall asleep for the life of me.
1057,0,depression hurts ....cymbalta cab help.
1058,1,fluoxetine is a hell of a drug if you're into being awake all night and feeling ill.
1060,1,i guess this is what i get for doubling my vyvanse #nosleep
1061,1,screw you paxil! you do wonders for anxiety but you make me a ultra lightweight
1062,1,why not to take vyvanse late in the day: i just cleaned my entire kitchen. it's 3am. #addproblems @vyvanseswag
1064,1,effexor dreams d:
1065,1,"welll..decided to get off paxil. withdrawals are killlerrr, like loss of circulation randomly in areas."
1067,0,forget diamonds...cipro is a girl's best friend  #tummytrouble #ahafrica
1068,1,horrendous venlafaxine dream. indecently assaulted by rose west and myra hindley.
1069,0,i'm on that good vyvanse and alcohol
1070,1,"@psychcentral olanzapine made me gain 20 lbs in a few months, plus it gave me bad acne breakouts. had to beg my old shrink to take me off it"
1072,1,@exitingcorpse @luckystubbs seroquel was my boner kryptonite when i was a disfunctional teen
1073,1,"@figster014 bloody zombie i also take venlafaxine thats for cronic depression bipolar is a difficult illness to deal with, both for the"
1074,1,when the depression is coming out caused by this damn levofloxacin :))
1075,1,"what i lack in money and personality, i make up for in paxil induced impotency"
1076,1,"@inukeyou and then i had horrible sleep once i took the trazodone. i just couldn't win, haha."
1077,0,"@terrijeanmaples the newer atypical drugs like geodon, risperdal, abilify. they help with neurogenesis, the brain's ability to heal."
1078,0,does nicotine gum actually help with quitting smoking..?
1079,1,rt @annie_monster: wtf? can't even get whipped cream out of the can? my arms just keep getting worse. damned cipro.
1081,0,#quetiapine is kicking in :)
1082,1,"#seb2013 fluoxetine - prosac - reduces anxiety in humans, but it also reduces libido and causes lethargy"
1084,0,i have to wake up every morning at 7:30am and take my effexor.
1085,0,?@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.? happy banana yayay :)
1086,1,the one bummer about it all is that the fluoxetine is giving me the shakes which made fine fiddly detail work harder than it should be
1087,1,too scared to go back to sleep horrid imposing dream #mewmeds #quetiapine #mentalhealth #bipolar
1088,0,smokin' loud sippin' lean..thee nigs square nicotine ..irene n a zip o lean. loud made me cough i need medascene @kingl
1089,1,i can?t see the point in taking #venlafaxine it?s screwing up my sleep &amp; i?m pretty sure it?s not helping with the depression.
1090,1,i resent taking olanzapine as it is the side effects of olanzapine that were mistaken for negative symptoms of schizophrenia
1091,1,"@calyxxx same with venlafaxine, 1 user i spoke to yrs ago stopped taking that when she started having acid like trips losing hours at a time"
1092,0,"slow down, you sound like the end of a cymbalta commercial. - lucille bluth"
1093,0,"what a great store @walmart is: i loss iq points, gained weight &amp; got addicted to nicotine - all in under 15 min from going in !!"
1094,1,"@burberrywife sometimes it never ends. so sorry. topomax is miserable with parasthesia, cognitive problems, kidney stones. lamictal's good"
1103,0,burning down the nicotine armoire
1105,1,anyone else have worsening #acne problems since starting #enbrel for autoimmune disease?
1106,1,the cymbalta certainly is addictive &amp; its fda approved...
1107,1,"@candidlykelly some day i should try fluoxetine again. it made me all suicidal the first time, but i was 18"
1108,1,@hello_nacho @tobiasampersand lexapro gave me the worst mixed episodes. i have some instability with pristiq but i can manage it ok.
1111,0,"scienceindex.com the safety, tolerability, and efficacy of once-daily memantine (28?mg): a multinational,... http://dlvr.it/3smwww"
1112,1,thank god i was born with so much hair; i wouldn't been bald by now. #crohnsproblems #teamibd #hairloss #humira #chronic #illness #gratitude
1113,1,why must i be so tired. this spell better just be new med beginnings &amp; go away! #tysabri
1114,0,effexor lawsuits involving heart birth defects removed to federal court #effexor #news #antidepressants
1115,0,1 month down on humira. 45% covered (down from 90%). also learned i'm down 57 pounds officially since september
1116,0,i force feed my followers lithium and paxil.
1117,0,@sara_robbins522 omg yes. it like depressing i literally need some cymbalta.
1118,0,if you talk bad about lebron i hope a thug shoots off your great toe and all the vancomycin and cipro in the world cant cure the infection.
1119,1,@bare_faced_chic i've had to reduce the quetiapine back to 400mg. couldn't take the increased gastro pain. was crumpled in a heap crying x
1121,0,i can feel the rush of nicotine from my lungs to my brain cells.
1122,0,"@jodidaubs @sassyjp10 he is from fleetwood, lancashire. also the place where the fisherman's friends lozenge originated #fleetwoodfac....t"
1123,1,people taking #quetiapine - does this need to sleep 24/7 go eventually? cos this is not sustainable beyond the short term.
1124,0,four tops- olanzapine and a good mental health consultant in acapulco #popstardemands
1125,1,i hate my new medication. it makes me feel hungry :-( #quetiapine
1126,1,"just about dead, think it's bedtime.. fuck you quetiapine"
1127,1,"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion"
1131,1,erm my pdoc wants me to go back on quetiapine. pointed out it had caused a heart arrhythmia last time. going back to gp to look at my ecg
1132,1,question: anyone on #humira experiencing urinary track infections frequently and never had before?
1133,1,03.25 day 13 rivaroxaban diary. neck ache and right shoulder ache. lower back pain.
1136,1,"rp mcmurphy was right about the trazodone being my new favorite bed-buddy. rip, melatonin dreams. you were getting too weird - even for me."
1137,0,"on the humira comercial it says it can help relieve pain, so i said ""this dick can help you relieve pain"" thought i'd share with the world."
1138,1,i ate 2 cakes  2 pastries at work today. blaming the quetiapine rather than my liking for cakes. blaming work too for providing free cake.
1139,1,i'd rather be on the effexor that made me happy though i had severe back pain from it.. than sad and crying for no reason on lexapro....
1148,1,@adreamitstrue things like mirtazipine&amp;trazodone weight gain isn't too hard to mitigate.things like valproate substantially more of an issue
1149,0,"ws waring @acutemedicine after massive olanzapine overdose, serum levels may remain high for over 72 hours #samcoventry"
1150,1,fuck seroquel. i need to be awake
1151,1,@whiskey_girl33 oh yuck. we all have our least favorite body fluid. mine is aerosolized blood. nosebleed on xarelto -eeeew
1152,1,"@chavielle i has beta blockers now, apparently the fluoxetine can cause panic attacks ^_^"
1153,0,they must not be passing prozac out at the door of twitter anymore.
1154,1,"fucking vyvanse, giving me cotton mouth. ugh."
1155,0,"lets start with 10 paracetamol, 10 diclofenac sodium, 10 domperidone and 10 ciprofloxacin. eat at once then see what will happen ?"
1156,0,"rt @cmichaelgibson: savor trial fails to meet primary endpoint to show superiority of #astrazeneca, bristol dpp-4 diabetes drug #onglyza ht?"
1157,1,@embodiedtales please tell me that wasn't quetiapine! that stuff is sooo sedating...
1158,1,@mannypresh602 word. i've been fuckin tweakin out on vyvanse and writing hella verses
1159,1,don't need any alcohol really when fluoxetine just makes me feel like i can't even stand
1160,1,"not that anyone noticed, but my #ambienwithdrawl only lasted a few days. why? because i got another scrip. i need it while i'm on levaquin."
1161,0,lamictal methedrine - watchfulness: .ibe
1162,1,i hate cipro! #antibiotic #nauseous #cf #hospitallife #cysticfibrosis
1163,1,fluoxetine makes me see shapes when i close my eyes
1164,0,@twitterrific @geodon how long until an updated mac version? i need my muffle!
1165,1,20.12 day 15 rivaroxaban diary. haven't yet taken today's tablet. will when i eat. still intense lower back pain from yesterday's tablet.
1166,0,@emma_jonesss doesn't vyvanse have the same depressant effects as adderall?
1167,1,i'm feeling extra ocd right now. like chill out melissa. my vyvanse has me wired or something....
1169,1,@amybadkin at the end of most working days! i still have to nap loads just to get through a week. some days better than others #enbrel
1170,1,@blackloislane i was on cymbalta for over a year. in the process of quitting it because it interacts badly with my testosterone blockers.
1171,1,@dougbremner i wish i'd have found your article sooner! i was crippled by cipro in oct of '09. prescribed for a uti &amp; it didn't even help.
1172,0,"rt @pinksheetmaryjo: pam analysis of eliquis review docs shows approval delayed by fraud, dispensing errors in pivotal trial [free] http://?"
1173,0,yey. i have more paroxetine. doctor says a minimum of 12 months on them. i'd honestly rather not come off them.
1174,0,@ahmad_alaseer @fadl_shakker  guys! you are delusional! you should seek help!  risperdal or zyprexa would do the job!
1175,0,"dr john buse: most impressive at #2013ada victoza???= -1.9% a1c reduction ""insulin on steroids"" bit of weight loss too #dttcoyd"
1176,1,i don't want to take my humira at all the pain is always unbearable and i don't wanna
