,type,tweet
594,1,"i'm tired of being tired, deffinatly #nap time for this girl. stupid #medications #paxil #trazodone #seroquel"
1955,1,"side affects of this withdrawal contains confusion, deliriousness, nauesousness and insomnia #withdrawal #trazodone #omgicantwait #help"
504,1,"actually it was more like a prison but with nurses instead of guards, olanzapine pill n im= #zombies"
1127,0,so my humira shots got shipped. drug company is helping me out while they work with insurance. small victories
1673,1,do i come off my medication or do i just continue to be a prozac zombie
661,0,rt @timbuttsack: venlafaxine more like lessvoicesinyourheadazine am i right guys?
657,1,i feel siiiiiiiiiiiiiiick. damn you venlafaxine.
1993,1,@kirkby007 i had a gene test for tysabri i guess it can cause a fatal brain disorder. my chances are low.. but that crap is creepy.
1001,0,@racanuck that?s why i switched to cimzia. enbrel  mtx  various other dmards never made a dent in my energy levels.
2191,1,my mind races when i'm on a vyvanse
1368,0,"what a great store @walmart is: i loss iq points, gained weight &amp; got addicted to nicotine - all in under 15 min from going in !!"
1339,1,"okay, this metoprolol is not a game. aside from the occasional chest pain when i breathe, i'm fine. ?"
1799,1,"rivaroxaban diary day 22. last tablet taken tuesday 18th, 4 days ago. woken up in pain. bad fluid retention (uneven) on both legs."
1411,0,oral regimens for pyelonephritis: *ciprofloxacin *levofloxacin *tmp/smz  do not notuse nitrofurantoin or fosfomycin for pyelo(only cystitis)
1979,1,im on the codiene lean oxy hydro pill trazodone ah man loud n moscato vision blurry still alot on deck fuck everybody im rollin #superhard
1666,0,?@uberfacts: bananas contain a natural chemical that can make a person happy - same chemical found in prozac.? i love bananas @olliejcohen
1107,1,"3 rounds of puking, a nasty headache, and my throat is raw. body wants nothing to do with this increase in the geodon."
897,0,rt @nejm: report: a fixed-dose regimen of dabigatran for ischemic stroke may be ineffective in pts with severe obesity. http://t.co/omohxer?
443,0,fed up of aching bones :( wonder drugs work some magic please. #rheumatoidarthritis #enbrel
341,1,off to see the gi consultant this week. hope theres something other than humira to try as not working also hair falling out.
789,1,@ciproispoison you r right cipro nearly killed me
2192,1,vyvanse masks me so depressed
482,1,allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/bkqnqwy5nk
530,1,"@ta3fox yeah, pristiq is a different formulation or something of effexor. so similar withdrawal stuff :("
614,1,@glass1ncision  -nods-  my zombie-ness when i first wake up in the morning is mostly from my nightly meds too (seroquel).
974,0,"are effexor xr and regular the same thing because i just got my refill, and they refilled it with regular instead of my usual xr."
865,0,*british accent* hey cymbalta are you working today? @destiny_tovar
1441,0,"ws waring @acutemedicine after massive olanzapine overdose, serum levels may remain high for over 72 hours #samcoventry"
359,1,#tremors #schizophrenia #seroquel #sideeffects i reflect on the tension in my nerves and all the shaking... meditation helped me a lot.
198,1,"arms stil hurt. cipro to tendons is like a razor to rope: cut it partway through, makes it weaker &amp; won't heal ever. damned cipro."
169,1,"@parthritis i don't know that one, but metho made me sick  everyday i took it. i had to stop. enbrel has worked wonders for me .. so far"
1031,0,"@leahice @britlee_harp cipro can do a lot worse than that!  google ""floxing"" or ""cipro poisoning"" or ""fluoroquinolone toxicity syndrome""."
690,1,vyvanse makes me having the sleeping schedule of a fucking vampire.
1890,1,seroquel makes me wanna eat so much
83,1,"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m."
648,0,rt?@dani_deeh: @muhleeah i heard of tysabri. should work good on ms. but serious side effects as well  :(? that's why i'm terrified!
2184,1,rt @sueereid: vyvanse makes me think too much ?
1233,1,"@bipolarblogger the misery i'm experiencing today from the pain, outweighs the anti-depressant effect of the lamotrigine"
1796,1,"02.03 rivaroxaban diary day 20. some neck pain and legs still weak, but feeling much better. very warm night."
1150,1,i did it. it hurt quite a bit more this time. but i did it. #humira #rheum #spoonie
1647,0,sex while shes on prozac . shes only happy when im out back.
1045,1,"didnt take my fluoxetine this morning because i forgot and i've been so shaky and tired all day, is this like, withdrawal symptoms?"
291,1,"the difference between 'just tired' and 'tired &amp; in a fog' is amazing.  so happy to be done taking levaquin, that stuff is way too strong"
537,1,"rules of prozac: 1: you can never sleep, ever again. never ever 2: no you may not switch your brain off. ever. 3: exhaustion is your friend."
1493,0,"rt @phd__m: @pharmacy_care #fda has approved #paroxetine which is, a ssri, to treat moderate to severe hot flashes associated with #menopau?"
98,1,fuckin wired! not sleeping tonight. #vyvanse #whatdoido #yuuuuup
854,0,"if james blake embodies depression, which artist is cymbalta?"
1336,0,anyone have any metoprolol? blood pressure rising. #votewtf
1513,0,"@govchristie #guns or #fda approved #drugs? elizabeth bush, age 13, (#paxil) was responsible for a school shooting in pennsylvania."
2023,1,"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal"
1549,1,every since i stopped taking that paxil i haven't been so damn emotional ..... i think!
1874,1,"@jessovenden no more ssri?s for me. they kept giving me manic reactions, usually angry. the seroquel has me feeling too tired. it?s brutal"
796,0,the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?
692,1,popped a vyvanse i'm tweak. whoop
261,1,"the most upsetting thing about silver linings playbook, is how bradley cooper can take seroquel and still stay in shape."
1289,0,?@spontaneousnat: ?@doniqued: *coughs ridiculously over the tl*? you want some lozenge? no i'm cool *coughs*
1496,1,@princeherb i had paroxetine for a few weeks once... apparently i started behaving oddly so they took me off it and put me on  sertraline
1943,0,writing notes to myself to remind myself trazodone causes priapism. pharmacology is cracking me up. http://t.co/ecndhfmf9p
1062,1,popped a fluoxetine im sweating
1206,1,@ineptune_ samezies :( it's the lamictal i'm flat as a kate hudson in how to lose a guy in 10 days
1503,0,"@billyjapan you are not taking any now? hub doesn't seem 100 % convinced. i'm lucky i'm on paxil for 16 years, feels that's my meds."
2021,1,"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal"
603,1,@cardiwithpearls enjoy :) haha. i take it + seroquel + klonopin every night for sleep. it can make me very loopy sometimes!
1463,1,"@kalmsivi saying that, the whole reason i gained weight in the first place was due to the drug olanzapine. doctor's fault. ah well."
402,1,"@misterak47 @cbs i don't know what that has to do w/ me. avelox has hurt my connective tissue,lungs and thyroid. i guess i should feel lucky"
868,1,i'm def suing cymbalta. i can't wait until its out of my system. get out!!!!!!! nowwww!!!!! you turn peaceful people into the hulk!
1743,1,it's raining. i ran for the bus when i didn't need to. my gp letter isn't right. sweating like a pig thanks to quetiapine. brighton bound!
2245,1,"i might have gained 30 lbs in 6 weeks on zyprexa...haven't lost that weight yet, and it's been 12 years now. call doc if it happens to you."
509,1,"olanzapine together. olanzapine is causing me to gain weight because i binge eat on it, normally in the evening. also sick of the joint pain"
1182,0,whenever i see the humira commercial i feel special #thankgodforhumira #crohnsdisease
1002,0,rt @royalwjohnson: generic drugs as effective as amgen's enbrel for arthritis: a blockbuster drug made by amgen is no more effect... http:/?
880,1,cymbalta withdrawals. need to get script. head is spinning. blood pressure low.  i hate depending on drugs to live.
754,1,@integratemd i sure wish my doctor had told me cipro could disable me for life!  there was never any mention of that.  now i'm crippled.
2177,1,no taste for you -vyvanse
758,0,"@ciproispoison @_cimmy_ i hope you are doing better now. yes, a small dose of cipro a few years ago did get me two or so years of problems."
1926,1,#schizophrenia #seroquel did not suit me at all. had severe tremors and weight gain. diabetes too! switched to #abilify. suits me well.
618,1,@jamieab1 trazodone made me extremely angry and i was wide awake all the time
882,1,cymbalta withdrawals. need to get script. head is spinning. blood pressure low.  i hate depending on drugs to live.
1510,1,"@friardanny i appreciate it. i gained over 30lbs with paxil so i'm trying something different, tired of the appetite side effects."
1777,1,"rivaroxaban diary ctd , neck and should ache, lower back pain and knee ache."
2063,1,horrendous venlafaxine dream. indecently assaulted by rose west and myra hindley.
286,1,@jennyelliott88 ffs!! i'm getting shooting pains down arms &amp; legs now &amp; in eve whole body ache #humira is horrible ??
1017,0,@theseatedview @amybadkin i agree absolutely. your gonna be fine amy. enbrel give me no problems whatsoever.xx
1599,0,@sensanders @deniseromano @barackobama calm down burnie time to take prozac
1378,0,"@thehappiepolock dude has not eaten a cheeseburger since high school, so i doubt he has nicotine problems lol"
803,0,"depression hurts, cymbalta can help #peace101 #headedhome #summertime @b_black94 @dani_andriani http://t.co/ptw34tyqrz"
361,1,#tremors #schizophrenia #seroquel #sideeffects i reflect on the tension in my nerves and all the shaking... meditation helped me a lot.
1869,0,"rt @herhealthyself: australian soldiers say ""we're drooling blobs"" after #seroquel rxs for #ptsd jump 570% btwn 2008-2012 | @psychupdate ht?"
874,1,this higher dose of #cymbalta is making me extremely tired and anxious. is this normal?
566,1,#quetiapine is not doing me any favors #ifeelsick
332,1,@crohniecharlie #humira helped my #crohns but then #respiratory issues ensued &amp; now i can't take anything &amp; have major lung issues
453,1,rt @ocd_guy: restless leg syndrome is bad tonight.  damn you fluoxetine.
1565,1,paxil why you not let me sleep?!?
1618,0,@prozac omfg no he is gorgeous i look like a whale hes so cute omg
1244,1,allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/mfrgr3tenj
1896,0,i'm bout to get me a sierra mist.  i wish i had some seroquel xr so i could go to sleep
407,1,baclofen gives me a head high but it makes me feel like throwing up after. ugh. #thestruggle
1308,0,the lozenge the doctor gave tastes like toothpaste.
747,0,canagliflozin demonstrates better glycemic control and body weight reduction versus sitagliptin in a 52 weeks clinical study #2013ada
2059,1,@sarahcherry88 @mycuriousmind i didn't find it any more sedative than just venlafaxine alone. prob a little less so :)
1991,0,$eln all that was left was tysabri. tysabri one piece of biib portfolio. fall last yr agrmnt to restructure
896,0,@heatherm211 @davidjuurlink yup. tho wonder if this is increased risk w/ dabigatran vs loss of protection from coumadin.
1806,0,rt @australiandr: pbs listing 'imminent' for novel oral anticoagulants dabigatran (pradaxa) and rivaroxaban (xarelto)  http://t.co/lwfhgsfe?
97,1,fuckin wired! not sleeping tonight. #vyvanse #whatdoido #yuuuuup
1804,0,@dewdiligence is methodology similar to the einstein trials for rivaroxaban? even if results are good they are arriving way too late.
2015,1,"@fibrofighter08 venlafaxine gave me horrendous nightmares, &amp; coming of it was horrific.!"
289,1,screw you paxil! you do wonders for anxiety but you make me a ultra lightweight
1975,0,trazodone y u not working
907,0,jama 2013 duloxetine: no difference initially but demonstrated with crossover. decrease was only 0.73 on a 10 point pain scale #asco
1693,0,@d_hablo yh prozac n ecstasy block neuron pathways or some shit
320,1,"@dani_deeh  nope, i tested positive for jcv.?????? ????????jcv &amp; tysabri = permanent brain damage or sudden death."
925,0,@deltrimental tell 'em you're suicidal without effexor. gimme.
704,0,feed an ocd vyvanse and cover him in crayons
208,1,@dougmoneybags quetiapine. very low dose even with increase. helps me get to sleep (&amp; eat in general) but feel really groggy in the morning
873,0,"rt @nourhaikal_: depression hurts, cymbalta can help. http://t.co/uu3fb1qe3o"
1625,0,@officialevix 1 prozac a day
917,1,@juntei my old ones took 2 days for withdrawals but effexor which i'm on now i will get them the next day :/ i wish i could email you valium
1446,1,"going off of olanzapine is no picnic.  you have to be prepared to ask the aid of the gods, jesus, krishna."
1766,1,"rt @bipolarblogger: since quetiapine's messed with my prolactin levels, making my boobs humungous &amp; my bras so expensive, i want a lingerie?"
976,1,"@oscli you want bad withdrawl, effexor had that..evil stuff for me...never again. i strongly believe it caused some memory damage for me. :("
903,0,osteonecrosis of jaw with denosumab: 3cases in yr1-3 vs 5cases in yr4-7 #eular2013 #osteoporosis
1419,0,@gidi_traffic. clearance sales. 200mg sparfloxacin x 6tabs for n100 each and 500mg levofloxacin x10tabs for n150. call 01-2901514
1420,0,@skylertunes oh man levofloxacin? i've had that same exact pill it hated me though. hope it does you justice!
2227,0,"i now take zoloft for depression , and ziprasidone for a mood stabilizer and anxiety ."
650,1,another light nights sleep brought to me courtesy of #venlafaxine dammit. #day8
342,1,"@rachelhatesjazz watch your eyesight with lamictal- i went from awesome vision, to wearing glasses full time for the 2 yrs i was on it."
346,1,3 weeks sober today. have had cravings but no where near as intense as when i was on antipsychotic seroquel. convinced of connection.
1823,1,"magically my appetite has gone back to normal since going off seroquel! well, well, well - i was right, the doctor was wrong."
485,1,@thebeecharmer97 @wyrdotter @danadelany psssh didn't levaquin make u hallucinate? girl u best stay away from shrooms lol
1085,0,"@wrongplanet its likly you will be given the contraceptive pill,they didnt work for me but may for you.you may get fluoxetine which is"
111,1,"rt @ellus_cooper: @uclaibd even w/ humira: ab pain, cramps,nausea,vomitting, skin&amp;joint problems, ulcers in mouth&amp;fatique #uclaibdnurses2013"
369,1,"u wailed all night; now y'r disembodied sobbing all damn'd day, ghost? ? effexor-xr?discontinuation syndrome ain't exactly heaven, angel"
2212,0,@emma_jonesss doesn't vyvanse have the same depressant effects as adderall?
617,1,@gsxr1kbusakilla but i switched to trazodone ... i was doing some crazy ish on ambien smh not good lol
1847,1,that seroquel had me sleepy as fuck alllll damn day
2199,0,that moment when your vyvanse kicks in and you write down all these lists but only get as far as writing them down. #shortattentionspand
1269,0,"okay, moving backwards, our it guys have been glasses, turban, ear hair, fatty 3, shorts, fatty 2, lozenge, and fatso."
1380,0,in my hood niggas try to smoke ya just like nicotine.
800,0,@sara_robbins522 omg yes. it like depressing i literally need some cymbalta.
531,1,"@hello_nacho @tobiasampersand i'm with you. even though the pristiq works, i still don't feel fully human."
1521,1,i've probably gained a good seven or eight pounds on paxil. my 5'2 and small frame can't deal w that. lol get me off the crazy meds asap!!!
1646,0,@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac @jadolski i'll eat loads!!
352,1,#schizophrenia #seroquel #sideeffects uncontrollable tremors in hands and legs. body would rock all the time. restlessness. desperation.
2195,1,rt @vyvanseswag: @mtv when are you going to do true life: i am addicted to vyvanse?
1356,1,"brb, dying of nicotine withdrawal."
96,1,"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro."
82,1,"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m."
1010,0,@anorexic0 @ewdustin -generic drugs as effective as amgen's enbrel for arthritis- @fiinging -: a blockbuster drug made b...  @jesusislana
2223,1,do you think anyone has ever managed to have an orgasm while on xarelto?
1995,1,have any of you developed knee pain since starting tysabri ? what helps with the problem ?
2071,0,"rt @insulinnation: if you take byetta, victoza, or januvia, read 'incretins under siege?  don't jump to conclusions'  @diabetesblogs - http?"
909,0,effexor lawsuits involving heart birth defects removed to federal court #effexor #news #antidepressants
778,1,@lisabrownphotos consider yourself lucky if all it does is make you dizzy and sick!  cipro crippled me and countless others.
2070,0,rt @juliamoskin: #pauladeen may have been paid $6 million for her endorsement of victoza. drug maker suspends deal with deen --http://t.co/?
1090,1,@ana_3033 fluoxetine give me headaches and makes me yawn 24/7
1961,1,"woke up from a nap with a really bad headache, my 2nd headache in three days. #trazodone #withdrawls"
1726,1,@crescentcolours that'll be the quetiapine making you drowsy. it's a common side effect xx
1512,0,"@paxilparox ""paxil"" is right up there with ""joey"" and ""daniel."""
1061,1,@nicoleccoelho i take fluoxetine and it doesn't do shit it just makes me dizzy and tired
684,0,thank you vyvanse for this great mood i'm in ?
1352,0,great idea number 1: remarket nicotine gun as high energy gum for unsuspecting masses.  #terribleidea
1740,0,@jennihall7 i'm on quetiapine aswell and i really want to use semtex just don't no if you can either x
1326,0,"because i'm 17, compose my own beats, &amp; lyrically dope enough to ass fuck the dude who made nicotine  #tylerthecreator #bastard"
957,0,"rt @polorize: the mental illness circle is not without it's elitists:  ""i'm on effexor.""  ""pfft amateur."""
498,1,so much for no nicotine withdrawal. think i've about pissed everyone off this week. #needacigarette
1131,0,?@rosenthal_bob: #ibd #crohns humira night.? good luck!
196,1,"arms stil hurt. cipro to tendons is like a razor to rope: cut it partway through, makes it weaker &amp; won't heal ever. damned cipro."
1538,0,"the game ""remember me"" had to be created by someone who went through paxil withdrawal and/or a lot of salvia."
1057,1,@hendryhannah i tried fluoxetine. it knocked me out.
984,1,zoloft was just as bad as effexor. it made me more depressed and more suicidal. i don't want it.
1733,1,@butterflywgs ...my old ones! plus caffeine in the morning counteracts these quite nicely whereas quetiapine hangovers were unshiftable
1795,1,"02.20 day 19 rivaroxaban diary woken up with pains in head, neck, back, hip and legs. seeing doc in 7 hours. no way am i continuin with rvxn"
2108,1,no #vyvanse = eat everything in sight.
233,1,#epilepsy is sucktastic. neuro appt monday to discuss a third med after getting the rash with lamotrigine and the glaucoma with topiramate.
631,1,i took my trazodone like an hour ago and i can barely keep my eyes open and i need to finish homeworrrkkk
833,1,cymbalta withdrawal &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;
1186,1,"@epilepsyadvice  on lamictal, chemist giving me there own brand med lamotrigine when lamictal not available..side effect problems..raging !"
470,0,fighting an ocd spike tonight; makes me worried about trading the lexapro in for lamictal. i don't do well without support for the ocd.
136,1,@magnoliapearl missing a day of meds is never fun. i get migraines if i don't get my effexor. do you just get super tired?
275,1,"@oscli every time i forget seroquel, i end up rage breaking things eg- my laptop *facepalm*"
2003,1,"anyway, i was just feeling itchy and my neck was red so they gave me benedryl with my #tysabri. might be a coincidence but just in case"
1264,0,rt @alldiabetesnews: trajenta? (linagliptin): new data on safety and efficacy in type 2 diabetes patients with renal impairment http://t.co?
197,1,"arms stil hurt. cipro to tendons is like a razor to rope: cut it partway through, makes it weaker &amp; won't heal ever. damned cipro."
574,1,03.25 day 13 rivaroxaban diary. neck ache and right shoulder ache. lower back pain.
1275,0,"@bentwelly @madbambi yep, this one is my top tip for all sore throats too. works by relaxing the muscles. combine with a numbing lozenge xx"
876,0,"@haley_boggess: when depression hits, cymbalta can't help tell me why this reminds me of our chapstick commercial? omggg."
1225,0,"risk factors for sudep: frequent sz, aed polytherapy, early age sz onset, subtherapeutic levels, male, carbamazepine or lamotrigine use."
1148,0,self-injected humira for first time! fingers x'd it works #spondylitis #crohns
930,1,"@authoredkurtz oh, it sucks, but try doing snri withdrawal. they had to put me on a whole other drug just to get me off effexor. :("
314,0,after 3 1/2 hours of sleep i'm exhausted but can't fall asleep ??... this trazodone is gonna knock me out ????
1569,0,on my last dose of paxil... :\
131,1,okay i took the seroquel and i am resisting the urge to vomit it up i feel disgusting but oh well good times good vibes don't be sad
1752,1,@lilythepurr i've had too much quetiapine today - i'm zombified.
959,1,"out of pills, feeling like a train wreck #tweaking #effexor"
1797,1,"02.03 rivaroxaban diary day 20. some neck pain and legs still weak, but feeling much better. very warm night."
41,1,"@50thingsb450 dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these."
1674,0,@_billy0wnz_ can i take that with prozac? i'm bipolar
1988,1,tysabri infusion #54 yesterday. made me feel tired and out of it for a while. maybe it's the heat - 34c (94f)!!! maybe a very hot summer?
2119,1,@itwasntbay yeah when i take vyvanse any food just looks/sounds/tastes fucking disgusting
49,1,thank god i was born with so much hair; i wouldn't been balm by now. #crohnsproblems #teamibd #hairloss #humira #chronic #illness #gratitude
1765,1,"rt @bipolarblogger: since quetiapine's messed with my prolactin levels, making my boobs humungous &amp; my bras so expensive, i want a lingerie?"
1680,0,"in the 60's people took acid to make the world weird. now the world is weird, people take prozac to make it normal."
1319,0,"@destinlegarie it's not a cure, but cepacol is a pretty potent lozenge. post nasal drip is usually the cause, so mucinex/nasal spray help."
1043,1,"didnt take my fluoxetine this morning because i forgot and i've been so shaky and tired all day, is this like, withdrawal symptoms?"
1658,0,bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.? easy ladies!
1013,0,@jesusislana @ewdustin -generic drugs as effective as amgen's enbrel for arthritis- @fiinging -: a blockbuster drug made b...  @anorexic0
391,0,g-d it feels good being out of the hospital!! blood clot in leg that landed in my lung. xarelto 4 / 30 days.
1956,1,"side affects of this withdrawal contains confusion, deliriousness, nauesousness and insomnia #withdrawal #trazodone #omgicantwait #help"
708,0,i feel like wonder women when my vyvanse starts kickin in #magicpill
1528,0,#camh #badpharma causes - drug-induced #psychosis #suicidality #prozac #clozapine #quetiapine #paxil #addiction etc. #nursing #toronto
1044,1,"didnt take my fluoxetine this morning because i forgot and i've been so shaky and tired all day, is this like, withdrawal symptoms?"
277,1,i can't wait to go get my anti nauaea meds tonight. i feel like shit. humira is definitely kicking my ass but my skin lools great.
1342,1,@tedwardpaynus very little is going to get in the way of their nicotine addiction.
503,1,on today's ride i burnt 1119 calories. take that olanzapine you hunger inducing bastard!!!
1709,0,in quetiapine we trust. no punchline.
2044,1,@asdfghjklucy_ venlafaxine was always awful for that. like someone sprayed hairspray all over my tongue... eww isn't a strong enough word!
1443,0,"i have never had any really dangerous or very unpleasant physical side effects from prozac or olanzapine when taken alone, nor when taken"
1881,1,"seroquel census: ""did we kiss?"" (notes i scribble next to my bed at 5am, loopy on anti-psychotics)"
939,1,effexor withdrawal.
622,1,@droz i take trazodone for my #insomina &amp; still have a hard time falling asleep or i end up having crazy dreams that wake me up!?!
1767,0,"06.07 on top of everything else, i'm getting a summer cold, sneezing and blocked but runny nose. some medications interact with rivaroxaban."
528,1,"what i lack in money and personality, i make up for in paxil induced impotency"
938,1,"@zymymar stopped zoloft cold turkey after i became suicidal, stopped effexor because i was numb."
1486,1,"@mrnick was getting out of control. i had no idea that coming off it would be so awful. other than paroxetine, i thought ssris were easy"
1837,1,my body is so not ready for this seroquel. never had an antidepressant knock me the fuck out at a quarter dose before o _o
1188,0,@oxytocinsarah how much longer are you supposed to wait &amp; see with the lamictal? it doesn't sound like its working to me.
224,0,so i finally have my 1st infusion of #tysabri set for nxt fri. so i'm supposed to suffer until it kicks in? this relapse is relentless. ??
2077,1,"i can feel my heart starting to palpitate from vyvanse, red bull, and nicotine. that's probably par for the course for finals week, right?"
1918,1,"two days without my seroquel? i feel like death, seriously"
200,1,rivaroxaban 2/2 lower back pain. not very pc but am crippled by this drug. taking more paracetamols. must ring for 'phone consultation.
1301,0,"@jordanaaw @im_justafangirl thought you would, lozenge's already seen it i sent her it earlier thru snapchat"
893,0,#caep13 q: role for tranexamic acid in massive gi bleed on dabigatran. room divided but panel supports. last ditch effort; weak evidence.
1063,1,"@chavielle i has beta blockers now, apparently the fluoxetine can cause panic attacks ^_^"
119,1,@c4dispatches i was prescribed victoza for obesity in july 2010. i have been ill ever since. evil drug #diabetes
2001,0,@keep__smyelin yes they insert a port for the infusion with tysabri. i did it yesterday for the 49th time. it's just a small sting.
550,1,"@lavenderfuchsia i lost weight in the past but it was much easier. like 2 steps forward, one step back on the quetiapine."
2093,1,i have a feeling i'm not going to go to bed at all tonight. damn you vyvanse!
1561,0,i mean paxil is essentially cocaine. like i keep asking my friends if they have health insurance like yo.....#curatedlifestyle
2197,0,rt @vyvanseswag: my dream girl takes more vyvanse than me.
113,1,"rt @ellus_cooper: @uclaibd even w/ humira: ab pain, cramps,nausea,vomitting, skin&amp;joint problems, ulcers in mouth&amp;fatique #uclaibdnurses2013"
1429,1,ok brain &amp; body. we need a chat about oversleeping and overeating since taking olanzapine again #tuboficecream #timetochange #junkfood #gym
1033,1,fluoxetine is a hell of a drug if you're into being awake all night and feeling ill.
776,1,@lisabrownphotos consider yourself lucky if all it does is make you dizzy and sick!  cipro crippled me and countless others.
1219,1,reducing the lamotrigine is grim. exhausted and grumpy. got another 2 weeks of this yet. wondering if i'm doing the right thing?
1249,0,got my shit taken from me because i burned myself with salt and ice 20 times on my leg. out for the day ! hair appt at 11. on latuda now.
105,1,restless arms &amp; legs! blood quetiapine :-/
2073,1,@sam_dietrich just had the viibryd vision shake thing again very cool
1834,1,@breatheinhope blargh hate this. particularly with seroquel at night. i not i don't sleep. if have and have more cant get up :/
1992,0,@andybiotech @adamfeuerstein @bradloncar maybe unspoken worries about lt growth of tysabri while $biib focuses on tecfidera?
786,1,@theeastmovie thank you so much for getting the message out...wish i could see the film but bayer crippled me with cipro back in 2009!
825,1,"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide"
620,1,"co-codemol and trazodone have taken control of my eyes, so i better go to bed, before they switch off my legs too, g'nite all, stay safe"
1550,1,not sure the paxil is working any more
1659,0,definitely not to me rt @uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.
1552,1,@rogerbezanis: any ideas on treating depression naturally paxil is making me gain unwanted pounds and water weight...thanks
1608,0,my prozac is wearing off i feel really shitty now
168,1,cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass
356,1,"@xyle50ul my cousin has bipolar she is on seroquel, her feet are always going &amp; she twirls her hair constantly is that a side effect of them"
269,1,@cheer_bear13 @lithiumlibgirl i couldn't take lamictal 1 week into it i got the rash.a rush trip to the er.6 months till rash was gone.
246,1,@criminalbanjo dude i feel physically and mentally drained.. thats the paxil i wanted hard at work
1358,1,@lukehedgecutter i cant sleep im having a well bad nicotine craving
2226,0,why is there a full four-page medical guide for xarelto tablets in my *tv* guide issue? somethin' ain't right here.
512,1,"@mrcbehan best of luck man! and they do suck :/ i was on olanzapine (abilify didnt work)...was awful, gained 3stone. off it nw n doin gud!"
871,1,i hate forgetting to take my cymbalta. it makes you feel sooooooo weird.
1386,1,addicted to nicotine badly.
553,1,sleeping my life away on #quetiapine. fine by me.
2083,0,shoutout to vyvanse just cause #40mg
416,1,@jessielee122 you can say that again!  i trusted my doc and ended up crippled thanks to just 12 cipro pills.  going on 4 years now.
2221,1,@whiskey_girl33 oh yuck. we all have our least favorite body fluid. mine is aerosolized blood. nosebleed on xarelto -eeeew
1613,0,strong sad would totally be the h*r universe equivalent of a brony but the show would be about depressed horses on prozac or something
93,1,"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro."
560,1,erm my pdoc wants me to go back on quetiapine. pointed out it had caused a heart arrhythmia last time. going back to gp to look at my ecg
1832,1,@danietreg oh yep! the only trouble with seroquel for me is i don't want to get up in the morning. i've always been an early riser.
734,0,@50thingsb450 er!  struggling with diazepam and increased baclofen.  back is obvs still in trouble :(
1476,0,@theotherrift it sort of can. :( you treat rls w dopamine agonists. olanzapine is a dopamine antagonist.
701,1,"rt @csestrich21: all nighter is killing me right now, i hate you vyvanse"
1529,0,"rt @create_fthings: popular antidepressants zoloft, prozac and paxil can lower libido and prevent orgasms"
2116,1,"fda needs a warning label on vyvanse: ""consumption of this drug may result in major ocd/many unneeded hrs at work"" http://t.co/ugxj62lpim"
2025,1,"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal"
170,1,@ajswurld i'm allergic to enbrel :-( bad reaction
1003,0,@anorexic0 @ewdustin -generic drugs as effective as amgen's enbrel for arthritis- @fiinging -: a blockbuster drug made b...  @jesusislana
1964,1,exhausted...can't fall asleep. don't wanna take a trazadone and wake up hungover. #sleepdisorderproblems
1125,0,@amybadkin @_ultimateniknik i like humira.  works for me so far
1930,0,"@amandabynes  please, look into seroquel."
1865,0,"i'd very much like to down a bottle of seroquel right now, but really, what good would that do for me? none. absolutely none"
961,0,@jonny_wags @hey_jeffrey wellbutrin did a pretty good job canceling out the side effects of effexor back when i was on both.
923,1,@lulubot75 the shaking is a common side effect of effexor
1645,0,started eating naners :) rt @uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.
723,0,apixaban: factor xa inhibitor for stroke prevention in patients with nonvalvular atrial fibrillation.
1825,1,i ain't trying to take this seroquel yet. i'm not ready to be sedated and completely unconscious till tomorrow.
1365,1,nicotine withdrawals. #needasmoke
1994,0,"@thestomabaglady @pueblokc the study drug here in philly is related to tysabri, but it is gi tract specific. something to look forward to."
1306,1,you guys i was sucking on this lozenge thats supposed to numb sore throats and now i cant feel my mouth
